itm_no_item|INVALID ITEM 
itm_no_item_pl|INVALID ITEM 
itm_tutorial_spear|矛 
itm_tutorial_spear_pl|矛 
itm_tutorial_club|木 棒 
itm_tutorial_club_pl|木 棒 
itm_tutorial_battle_axe|战 斗 斧 
itm_tutorial_battle_axe_pl|战 斗 斧 
itm_tutorial_arrows|箭 
itm_tutorial_arrows_pl|箭 
itm_tutorial_bolts|弩 矢 
itm_tutorial_bolts_pl|弩 矢 
itm_tutorial_short_bow|短 弓 
itm_tutorial_short_bow_pl|短 弓 
itm_tutorial_crossbow|弩 
itm_tutorial_crossbow_pl|弩 
itm_tutorial_throwing_daggers|飞 刀 
itm_tutorial_throwing_daggers_pl|飞 刀 
itm_tutorial_saddle_horse|旅 行 马 
itm_tutorial_saddle_horse_pl|旅 行 马 
itm_tutorial_shield|筝 形 盾 
itm_tutorial_shield_pl|筝 形 盾 
itm_tutorial_staff_no_attack|棍 
itm_tutorial_staff_no_attack_pl|棍 
itm_tutorial_staff|棍 
itm_tutorial_staff_pl|棍 
itm_tutorial_sword|剑 
itm_tutorial_sword_pl|剑 
itm_tutorial_axe|斧 
itm_tutorial_axe_pl|斧 
itm_tutorial_dagger|匕 首 
itm_tutorial_dagger_pl|匕 首 
itm_horse_meat|马 肉 
itm_horse_meat_pl|马 肉 
itm_practice_sword|练 习 剑 
itm_practice_sword_pl|练 习 剑 
itm_heavy_practice_sword|重 型 练 习 剑 
itm_heavy_practice_sword_pl|重 型 练 习 剑 
itm_practice_dagger|练 习 匕 首 
itm_practice_dagger_pl|练 习 匕 首 
itm_practice_axe|练 习 斧 
itm_practice_axe_pl|练 习 斧 
itm_arena_axe|斧 
itm_arena_axe_pl|斧 
itm_arena_sword|剑 
itm_arena_sword_pl|剑 
itm_arena_sword_two_handed|双 手 剑 
itm_arena_sword_two_handed_pl|双 手 剑 
itm_arena_lance|骑 枪 
itm_arena_lance_pl|骑 枪 
itm_practice_staff|练 习 棍 
itm_practice_staff_pl|练 习 棍 
itm_practice_lance|练 习 骑 枪 
itm_practice_lance_pl|练 习 骑 枪 
itm_practice_shield|练 习 盾 
itm_practice_shield_pl|练 习 盾 
itm_practice_bow|练 习 弓 
itm_practice_bow_pl|练 习 弓 
itm_practice_crossbow|练 习 弩 
itm_practice_crossbow_pl|练 习 弩 
itm_practice_javelin|练 习 标 枪 
itm_practice_javelin_pl|练 习 标 枪 
itm_practice_javelin_melee|练 习 近 战 标 枪 
itm_practice_javelin_melee_pl|练 习 近 战 标 枪 
itm_practice_throwing_daggers|飞 刀 
itm_practice_throwing_daggers_pl|飞 刀 
itm_practice_throwing_daggers_100_amount|飞 刀 
itm_practice_throwing_daggers_100_amount_pl|飞 刀 
itm_practice_horse|练 习 马 
itm_practice_horse_pl|练 习 马 
itm_practice_arrows|练 习 箭 
itm_practice_arrows_pl|练 习 箭 
itm_practice_bolts|练 习 弩 矢 
itm_practice_bolts_pl|练 习 弩 矢 
itm_practice_arrows_10_amount|练 习 箭 
itm_practice_arrows_10_amount_pl|练 习 箭 
itm_practice_arrows_100_amount|练 习 箭 
itm_practice_arrows_100_amount_pl|练 习 箭 
itm_practice_bolts_9_amount|练 习 弩 矢 
itm_practice_bolts_9_amount_pl|练 习 弩 矢 
itm_practice_boots|训 练 靴 
itm_practice_boots_pl|训 练 靴 
itm_red_tourney_armor|红 色 竞 技 甲 
itm_red_tourney_armor_pl|红 色 竞 技 甲 
itm_blue_tourney_armor|蓝 色 竞 技 甲 
itm_blue_tourney_armor_pl|蓝 色 竞 技 甲 
itm_green_tourney_armor|绿 色 竞 技 甲 
itm_green_tourney_armor_pl|绿 色 竞 技 甲 
itm_gold_tourney_armor|金 色 竞 技 甲 
itm_gold_tourney_armor_pl|金 色 竞 技 甲 
itm_red_tourney_helmet|红 色 竞 技 盔 
itm_red_tourney_helmet_pl|红 色 竞 技 盔 
itm_blue_tourney_helmet|蓝 色 竞 技 盔 
itm_blue_tourney_helmet_pl|蓝 色 竞 技 盔 
itm_green_tourney_helmet|绿 色 竞 技 盔 
itm_green_tourney_helmet_pl|绿 色 竞 技 盔 
itm_gold_tourney_helmet|金 色 竞 技 盔 
itm_gold_tourney_helmet_pl|金 色 竞 技 盔 
itm_arena_shield_red|盾 
itm_arena_shield_red_pl|盾 
itm_arena_shield_blue|盾 
itm_arena_shield_blue_pl|盾 
itm_arena_shield_green|盾 
itm_arena_shield_green_pl|盾 
itm_arena_shield_yellow|盾 
itm_arena_shield_yellow_pl|盾 
itm_arena_armor_white|白 色 竞 技 甲 
itm_arena_armor_white_pl|白 色 竞 技 甲 
itm_arena_armor_red|红 色 竞 技 甲 
itm_arena_armor_red_pl|红 色 竞 技 甲 
itm_arena_armor_blue|蓝 色 竞 技 甲 
itm_arena_armor_blue_pl|蓝 色 竞 技 甲 
itm_arena_armor_green|绿 色 竞 技 甲 
itm_arena_armor_green_pl|绿 色 竞 技 甲 
itm_arena_armor_yellow|黄 色 竞 技 甲 
itm_arena_armor_yellow_pl|黄 色 竞 技 甲 
itm_arena_tunic_white|白 色 竞 技 短 袍 
itm_arena_tunic_white_pl|白 色 竞 技 短 袍 
itm_arena_tunic_red|红 色 竞 技 短 袍 
itm_arena_tunic_red_pl|红 色 竞 技 短 袍 
itm_arena_tunic_blue|蓝 色 竞 技 短 袍 
itm_arena_tunic_blue_pl|蓝 色 竞 技 短 袍 
itm_arena_tunic_green|绿 色 竞 技 短 袍 
itm_arena_tunic_green_pl|绿 色 竞 技 短 袍 
itm_arena_tunic_yellow|黄 色 竞 技 短 袍 
itm_arena_tunic_yellow_pl|黄 色 竞 技 短 袍 
itm_arena_helmet_red|红 色 竞 技 盔 
itm_arena_helmet_red_pl|红 色 竞 技 盔 
itm_arena_helmet_blue|蓝 色 竞 技 盔 
itm_arena_helmet_blue_pl|蓝 色 竞 技 盔 
itm_arena_helmet_green|绿 色 竞 技 盔 
itm_arena_helmet_green_pl|绿 色 竞 技 盔 
itm_arena_helmet_yellow|黄 色 竞 技 盔 
itm_arena_helmet_yellow_pl|黄 色 竞 技 盔 
itm_steppe_helmet_white|白 色 草 原 盔 
itm_steppe_helmet_white_pl|白 色 草 原 盔 
itm_steppe_helmet_red|红 色 草 原 盔 
itm_steppe_helmet_red_pl|红 色 草 原 盔 
itm_steppe_helmet_blue|蓝 色 草 原 盔 
itm_steppe_helmet_blue_pl|蓝 色 草 原 盔 
itm_steppe_helmet_green|绿 色 草 原 盔 
itm_steppe_helmet_green_pl|绿 色 草 原 盔 
itm_steppe_helmet_yellow|黄 色 草 原 盔 
itm_steppe_helmet_yellow_pl|黄 色 草 原 盔 
itm_tourney_helm_white|白 色 赛 场 盔 
itm_tourney_helm_white_pl|白 色 赛 场 盔 
itm_tourney_helm_red|红 色 赛 场 盔 
itm_tourney_helm_red_pl|红 色 赛 场 盔 
itm_tourney_helm_blue|蓝 色 赛 场 盔 
itm_tourney_helm_blue_pl|蓝 色 赛 场 盔 
itm_tourney_helm_green|绿 色 赛 场 盔 
itm_tourney_helm_green_pl|绿 色 赛 场 盔 
itm_tourney_helm_yellow|黄 色 赛 场 盔 
itm_tourney_helm_yellow_pl|黄 色 赛 场 盔 
itm_arena_turban_red|竞 技 头 巾 
itm_arena_turban_red_pl|竞 技 头 巾 
itm_arena_turban_blue|竞 技 头 巾 
itm_arena_turban_blue_pl|竞 技 头 巾 
itm_arena_turban_green|竞 技 头 巾 
itm_arena_turban_green_pl|竞 技 头 巾 
itm_arena_turban_yellow|竞 技 头 巾 
itm_arena_turban_yellow_pl|竞 技 头 巾 
itm_book_tactics|罗 马 军 制 论 
itm_book_tactics_pl|罗 马 军 制 论 
itm_book_persuasion|修 辞 学 
itm_book_persuasion_pl|修 辞 学 
itm_book_leadership|亚 历 山 大 传 记 
itm_book_leadership_pl|亚 历 山 大 传 记 
itm_book_intelligence|逻 辑 论 文 
itm_book_intelligence_pl|逻 辑 论 文 
itm_book_trade|价 值 论 
itm_book_trade_pl|价 值 论 
itm_book_weapon_mastery|剑 斗 艺 术 
itm_book_weapon_mastery_pl|剑 斗 艺 术 
itm_book_engineering|机 械 原 理 
itm_book_engineering_pl|机 械 原 理 
itm_book_wound_treatment_reference|治 疗 之 书 
itm_book_wound_treatment_reference_pl|治 疗 之 书 
itm_book_training_reference|兵 器 手 册 
itm_book_training_reference_pl|兵 器 手 册 
itm_book_surgery_reference|手 术 大 全 
itm_book_surgery_reference_pl|手 术 大 全 
itm_spice|香 料 
itm_spice_pl|香 料 
itm_salt|盐 
itm_salt_pl|盐 
itm_oil|油 
itm_oil_pl|油 
itm_pottery|陶 器 
itm_pottery_pl|陶 器 
itm_raw_flax|亚 麻 捆 
itm_raw_flax_pl|亚 麻 捆 
itm_linen|亚 麻 布 
itm_linen_pl|亚 麻 布 
itm_wool|羊 毛 
itm_wool_pl|羊 毛 
itm_wool_cloth|毛 呢 
itm_wool_cloth_pl|毛 呢 
itm_raw_silk|生 丝 
itm_raw_silk_pl|生 丝 
itm_raw_dyes|染 料 
itm_raw_dyes_pl|染 料 
itm_velvet|天 鹅 绒 
itm_velvet_pl|天 鹅 绒 
itm_iron|生 铁 
itm_iron_pl|生 铁 
itm_tools|工 具 
itm_tools_pl|工 具 
itm_raw_leather|兽 皮 
itm_raw_leather_pl|兽 皮 
itm_leatherwork|皮 革 制 品 
itm_leatherwork_pl|皮 革 制 品 
itm_raw_date_fruit|枣 肉 
itm_raw_date_fruit_pl|枣 肉 
itm_furs|毛 皮 
itm_furs_pl|毛 皮 
itm_wine|葡 萄 酒 
itm_wine_pl|葡 萄 酒 
itm_ale|麦 芽 酒 
itm_ale_pl|麦 芽 酒 
itm_smoked_fish|熏 鱼 
itm_smoked_fish_pl|熏 鱼 
itm_cheese|奶 酪 
itm_cheese_pl|奶 酪 
itm_honey|蜂 蜜 
itm_honey_pl|蜂 蜜 
itm_sausages|腊 肠 
itm_sausages_pl|腊 肠 
itm_cabbages|卷 心 菜 
itm_cabbages_pl|卷 心 菜 
itm_dried_meat|风 干 肉 
itm_dried_meat_pl|风 干 肉 
itm_apples|苹 果 
itm_apples_pl|苹 果 
itm_raw_grapes|葡 萄 
itm_raw_grapes_pl|葡 萄 
itm_raw_olives|橄 榄 
itm_raw_olives_pl|橄 榄 
itm_grain|小 麦 
itm_grain_pl|小 麦 
itm_cattle_meat|牛 肉 
itm_cattle_meat_pl|牛 肉 
itm_bread|面 包 
itm_bread_pl|面 包 
itm_chicken|鸡 肉 
itm_chicken_pl|鸡 肉 
itm_pork|猪 肉 
itm_pork_pl|猪 肉 
itm_butter|奶 油 
itm_butter_pl|奶 油 
itm_siege_supply|补 给 品 
itm_siege_supply_pl|补 给 品 
itm_quest_wine|葡 萄 酒 
itm_quest_wine_pl|葡 萄 酒 
itm_quest_ale|麦 芽 酒 
itm_quest_ale_pl|麦 芽 酒 
itm_tutorial_sword|剑 
itm_tutorial_sword_pl|剑 
itm_tutorial_axe|斧 
itm_tutorial_axe_pl|斧 
itm_tutorial_spear|矛 
itm_tutorial_spear_pl|矛 
itm_tutorial_club|木 棒 
itm_tutorial_club_pl|木 棒 
itm_tutorial_battle_axe|战 斗 斧 
itm_tutorial_battle_axe_pl|战 斗 斧 
itm_tutorial_arrows|箭 
itm_tutorial_arrows_pl|箭 
itm_tutorial_bolts|弩 矢 
itm_tutorial_bolts_pl|弩 矢 
itm_tutorial_short_bow|短 弓 
itm_tutorial_short_bow_pl|短 弓 
itm_tutorial_crossbow|弩 
itm_tutorial_crossbow_pl|弩 
itm_tutorial_throwing_daggers|飞 刀 
itm_tutorial_throwing_daggers_pl|飞 刀 
itm_tutorial_saddle_horse|旅 行 马 
itm_tutorial_saddle_horse_pl|旅 行 马 
itm_tutorial_shield|筝 形 盾 
itm_tutorial_shield_pl|筝 形 盾 
itm_tutorial_staff_no_attack|棍 
itm_tutorial_staff_no_attack_pl|棍 
itm_tutorial_staff|棍 
itm_tutorial_staff_pl|棍 
itm_sumpter_horse|驮 马 
itm_sumpter_horse_pl|驮 马 
itm_saddle_horse|旅 行 马 
itm_saddle_horse_pl|旅 行 马 
itm_steppe_horse|草 原 马 
itm_steppe_horse_pl|草 原 马 
itm_arabian_horse_a|沙 漠 马 
itm_arabian_horse_a_pl|沙 漠 马 
itm_courser|骏 马 
itm_courser_pl|骏 马 
itm_arabian_horse_b|萨 兰 德 马 
itm_arabian_horse_b_pl|萨 兰 德 马 
itm_hunter|猎 马 
itm_hunter_pl|猎 马 
itm_warhorse|军 马 
itm_warhorse_pl|军 马 
itm_charger|战 马 
itm_charger_pl|战 马 
itm_arrows|箭 
itm_arrows_pl|箭 
itm_khergit_arrows|库 吉 特 箭 
itm_khergit_arrows_pl|库 吉 特 箭 
itm_barbed_arrows|倒 刺 箭 
itm_barbed_arrows_pl|倒 刺 箭 
itm_bodkin_arrows|锥 头 箭 
itm_bodkin_arrows_pl|锥 头 箭 
itm_bolts|弩 矢 
itm_bolts_pl|弩 矢 
itm_steel_bolts|钢 弩 矢 
itm_steel_bolts_pl|钢 弩 矢 
itm_cartridges|弹 药 筒 
itm_cartridges_pl|弹 药 筒 
itm_pilgrim_disguise|朝 圣 者 服 
itm_pilgrim_disguise_pl|朝 圣 者 服 
itm_pilgrim_hood|朝 圣 者 风 帽 
itm_pilgrim_hood_pl|朝 圣 者 风 帽 
itm_leather_gloves|皮 手 套 
itm_leather_gloves_pl|皮 手 套 
itm_mail_mittens|链 甲 手 套 
itm_mail_mittens_pl|链 甲 手 套 
itm_scale_gauntlets|鱼 鳞 甲 臂 铠 
itm_scale_gauntlets_pl|鱼 鳞 甲 臂 铠 
itm_lamellar_gauntlets|鳞 片 甲 臂 铠 
itm_lamellar_gauntlets_pl|鳞 片 甲 臂 铠 
itm_gauntlets|臂 铠 
itm_gauntlets_pl|臂 铠 
itm_wrapping_boots|绑 腿 
itm_wrapping_boots_pl|绑 腿 
itm_woolen_hose|羊 毛 裤 
itm_woolen_hose_pl|羊 毛 裤 
itm_blue_hose|蓝 羊 毛 裤 
itm_blue_hose_pl|蓝 羊 毛 裤 
itm_hunter_boots|猎 靴 
itm_hunter_boots_pl|猎 靴 
itm_hide_boots|兽 皮 靴 
itm_hide_boots_pl|兽 皮 靴 
itm_ankle_boots|短 靴 
itm_ankle_boots_pl|短 靴 
itm_nomad_boots|游 牧 靴 
itm_nomad_boots_pl|游 牧 靴 
itm_leather_boots|皮 靴 
itm_leather_boots_pl|皮 靴 
itm_splinted_leather_greaves|夹 板 式 皮 护 腿 
itm_splinted_leather_greaves_pl|夹 板 式 皮 护 腿 
itm_mail_chausses|链 甲 护 腿 
itm_mail_chausses_pl|链 甲 护 腿 
itm_splinted_greaves|夹 板 式 护 腿 
itm_splinted_greaves_pl|夹 板 式 护 腿 
itm_mail_boots|链 甲 靴 
itm_mail_boots_pl|链 甲 靴 
itm_iron_greaves|铁 护 腿 
itm_iron_greaves_pl|铁 护 腿 
itm_black_greaves|黑 护 腿 
itm_black_greaves_pl|黑 护 腿 
itm_khergit_leather_boots|库 吉 特 皮 靴 
itm_khergit_leather_boots_pl|库 吉 特 皮 靴 
itm_sarranid_boots_a|萨 兰 德 鞋 
itm_sarranid_boots_a_pl|萨 兰 德 鞋 
itm_sarranid_boots_b|萨 兰 德 皮 靴 
itm_sarranid_boots_b_pl|萨 兰 德 皮 靴 
itm_sarranid_boots_c|覆 板 靴 
itm_sarranid_boots_c_pl|覆 板 靴 
itm_sarranid_boots_d|萨 兰 德 链 甲 靴 
itm_sarranid_boots_d_pl|萨 兰 德 链 甲 靴 
itm_sarranid_head_cloth|女 式 头 布 
itm_sarranid_head_cloth_pl|女 式 头 布 
itm_sarranid_head_cloth_b|女 式 头 布 
itm_sarranid_head_cloth_b_pl|女 式 头 布 
itm_sarranid_felt_head_cloth|头 布 
itm_sarranid_felt_head_cloth_pl|头 布 
itm_sarranid_felt_head_cloth_b|头 布 
itm_sarranid_felt_head_cloth_b_pl|头 布 
itm_lady_dress_ruby|连 衣 裙 
itm_lady_dress_ruby_pl|连 衣 裙 
itm_lady_dress_green|连 衣 裙 
itm_lady_dress_green_pl|连 衣 裙 
itm_lady_dress_blue|连 衣 裙 
itm_lady_dress_blue_pl|连 衣 裙 
itm_red_dress|红 色 连 衣 裙 
itm_red_dress_pl|红 色 连 衣 裙 
itm_brown_dress|棕 色 连 衣 裙 
itm_brown_dress_pl|棕 色 连 衣 裙 
itm_green_dress|绿 色 连 衣 裙 
itm_green_dress_pl|绿 色 连 衣 裙 
itm_khergit_lady_dress|库 吉 特 连 衣 裙 
itm_khergit_lady_dress_pl|库 吉 特 连 衣 裙 
itm_khergit_lady_dress_b|库 吉 特 女 式 皮 裙 
itm_khergit_lady_dress_b_pl|库 吉 特 女 式 皮 裙 
itm_sarranid_lady_dress|萨 兰 德 连 衣 裙 
itm_sarranid_lady_dress_pl|萨 兰 德 连 衣 裙 
itm_sarranid_lady_dress_b|萨 兰 德 连 衣 裙 
itm_sarranid_lady_dress_b_pl|萨 兰 德 连 衣 裙 
itm_sarranid_common_dress|萨 兰 德 裙 
itm_sarranid_common_dress_pl|萨 兰 德 裙 
itm_sarranid_common_dress_b|萨 兰 德 裙 
itm_sarranid_common_dress_b_pl|萨 兰 德 裙 
itm_courtly_outfit|宫 廷 服 
itm_courtly_outfit_pl|宫 廷 服 
itm_nobleman_outfit|贵 族 服 
