ip_morale|士 氣 
ip_morale_text|士 氣 為 部 隊 中 的 士 兵 們 提 供 了 保 持 堅 忍 不 拔， 勇 往 直 前， 和 紀 律 嚴 明 的 能 力 和 積 極 性， 這 些 都 是 他 們 抵 御 戰 斗 和 行 軍 當 中 的 壓 力 所 必 需 的。 這 個 和 士 兵 們 的 愉 悅 度 不 是 一 回 事 情。 精 銳 部 隊 也 許 會 因 不 滿 而 抱 怨 戰 役 的 艱 苦 — — 但 是 當 他 們 面 對 如 蝗 飛 矢 的 時 候 還 是 會 堅 如 磐 石 團 結 如 一。 另 一 方 面， 一 個 無 微 不 至 給 予 他 的 部 下 任 何 需 求 的 指 揮 官， 也 許 反 而 會 發 現 他 們 變 得 軟 弱， 並 且 在 敵 人 進 攻 前 就 望 風 而 逃。 ^^ 士 氣 最 大 的 影 響 是 對 於 部 隊 在 戰 斗 中 的 行 為， 決 斗 了 士 兵 與 敵 人 交 戰 時 有 多 凶 猛， 以 及 當 他 們 發 現 戰 場 形 勢 不 對 時 有 多 想 落 荒 而 逃。 士 氣 同 樣 影 響 一 支 部 隊 的 行 軍 速 度， 越 沒 有 動 力 的 隊 伍 跑 的 就 越 慢， 因 為 這 種 情 況 下 部 下 不 會 盡 力 而 為， 並 且 經 常 要 停 下 來 休 息， 所 以 經 常 要 等 掉 隊 的 人 趕 上 來。 最 終， 一 支 士 氣 低 下 的 部 隊 就 會 有 人 開 小 差 逃 走。 ^^ 一 些 影 響 士 氣 的 因 素 是 很 直 觀 的。 比 如， 一 個 魅 力 過 人 並 且 百 戰 百 勝 的 指 揮 官 可 以 給 他 或 者 她 的 部 下 在 精 神 上 以 極 大 的 鼓 舞。 給 部 下 提 供 大 量 而 又 豐 富 食 物， 並 且 不 拖 欠 部 下 傭 金 的 領 袖 們， 表 現 的 很 關 心 他 們 的 士 兵 的 福 利， 並 且 不 喜 歡 帶 領 他 們 深 赴 險 地。 ^^ 另 外 一 些 因 素 就 不 是 那 麼 直 觀 了 — — 特 別 是 那 些 涉 及 部 隊 的 團 隊 凝 聚 力 方 面 的。 例 如， 在 一 支 精 兵 隊 伍 裡， 個 個 都 會 和 優 勢 兵 力 的 敵 人 艱 苦 作 戰 毫 不 畏 縮， 因 為 你 的 膽 小 與 否 別 人 都 能 看 得 到。 相 對 的 面 對 一 支 龐 大 的 隊 伍 你 也 許 就 會 看 到 其 內 部 團 結 有 問 題， 這 是 由 於 指 揮 官 沒 有 更 多 的 時 間 來 監 督 部 下， 傾 聽 他 們 的 抱 怨， 並 且 解 決 他 們 之 間 的 爭 端。 頻 繁 的 戰 事 將 使 戰 士 們 團 結， 而 長 時 間 的 無 所 事 事 會 使 士 兵 們 變 得 無 聊 和 相 互 爭 吵。 ^^ 通 過 點 擊 「 報 告 」 按 鈕 來 顯 示 的 士 氣 報 告， 將 給 玩 家 顯 示 哪 些 因 素 正 在 影 響 他 或 她 部 下 的 士 氣。 
ip_economy|經 濟 
ip_economy_text|卡 拉 迪 亞 大 陸 上 的 城 鎮 和 村 莊 為 了 其 人 口 的 正 常 生 存 和 生 產 都 需 要 非 常 多 樣 化 的 商 品。 民 以 食 為 天。 谷 物 是 卡 拉 迪 亞 大 陸 的 主 要 農 作 物， 但 是 人 們 還 需 要 肉 類， 魚 類 和 奶 酪 提 供 的 脂 肪 和 蛋 白 質。 而 第 一 時 間 裡 將 肉 類 妥 善 保 存 起 來 的 工 作 差 不 多 和 生 產 肉 類 一 樣 繁 重， 因 此 食 鹽 的 需 求 也 很 巨 大。 要 解 決 溫 飽 還 需 要 衣 服 ： 厚 重 的 羊 毛， 輕 盈 的 亞 麻， 或 者 奢 華 的 天 鵝 絨。 最 後， 人 們 還 需 要 用 於 貿 易 的 各 種 物 品 ： 鐵 器， 陶 器， 皮 革 制 品， 當 然， 還 有， 用 於 戰 爭 的 武 器， 盔 甲， 以 及 馬 匹。 ^^ 大 多 數 農 業 產 品 產 自 於 村 莊， 而 城 鎮 裡 的 工 匠 則 專 門 從 事 於 制 造 品 或 者 手 工 藝 品 比 如 織 物 或 者 鐵 器。 同 樣 的， 不 同 的 資 源 產 自 於 國 家 的 不 同 行 當。 因 此， 卡 拉 迪 亞 大 陸 的 繁 榮 的 關 鍵 是 貿 易 — — 不 但 是 村 莊 和 城 鎮 之 間， 還 包 括 那 些 主 要 城 鎮 本 身 之 間。 ^^ 當 貿 易 流 通 時， 商 品 將 能 夠 被 使 用 和 消 費， 該 地 區 的 人 口 將 會 健 康 而 又 愉 悅， 並 且 會 有 移 居 者 從 附 近 地 區 聚 集 過 來。 該 地 區 將 會 生 產 更 多， 消 費 更 多， 進 而 能 夠 給 他 們 的 領 主 貢 獻 更 多 的 稅 金。 當 貿 易 停 滯， 城 鎮 和 村 莊 的 工 人 就 會 離 開 去 別 處 找 工 作， 而 經 濟 活 動 也 將 停 止。 從 而， 為 了 統 治 者 的 利 益 得 去 保 護 貿 易 路 線 免 遭 戰 爭 和 匪 患 的 威 脅。 可 是， 一 個 精 明 的 商 人， 會 希 望 搜 索 到 與 大 陸 上 其 它 地 方 隔 離 的 城 鎮， 因 為 他 或 者 她 也 許 能 夠 從 不 平 衡 的 價 格 之 中 獲 得 相 當 可 觀 的 收 益。 ^^ 因 為 村 民 總 是 把 他 們 出 產 的 商 品 運 往 城 鎮 的 市 場， 村 莊 的 市 場 通 常 沒 什 麼 生 意， 而 村 民 們 總 是 賤 買 貴 賣。 正 經 的 商 人 都 待 在 城 鎮 裡 做 買 賣， 雖 然 有 些 隊 伍 會 不 時 在 村 莊 稍 作 停 留 做 些 補 給。 ^^ 一 個 玩 家 如 果 要 想 知 道 哪 些 因 素 影 響 著 某 個 地 區 的 繁 榮 度 可 以 去 問 問 城 鎮 廣 場 上 的 鎮 長。 別 的 信 息 可 以 從 路 人 那 裡 收 集 到， 盡 管 他 們 也 許 不 太 清 楚 他 們 自 己 特 定 貿 易 以 外 的 東 西。 
ip_courtship|求 愛 
ip_courtship_text|玩 家 們 也 許 希 望 和 卡 拉 迪 亞 的 世 家 貴 族 聯 姻。 婚 姻 並 不 是 玩 家 在 卡 拉 迪 亞 施 展 自 己 的 本 領 和 才 干 所 必 須 的， 但 是 這 提 供 給 了 玩 家 增 進 和 領 主 們 的 關 系 以 及 確 立 對 王 位 主 張 的 機 會。 ^^ 結 婚 的 條 件 對 於 男 性 和 女 性 玩 家 是 不 同 的。 一 個 男 性 角 色 通 常 需 要 進 行 傳 統 方 式 的 求 愛。 他 需 要 在 卡 拉 迪 亞 貴 族 圈 裡 建 立 自 己 的 聲 望， 要 和 他 新 娘 的 父 母 或 者 監 護 人 相 處 融 洽， 並 且 按 照 當 地 習 俗 向 女 孩 求 愛。 如 果 某 個 玩 家 變 得 不 耐 煩 起 來， 他 可 以 試 圖 走 捷 徑 — — 但 是 會 對 他 和 其 他 領 主 之 間 的 關 系 產 生 後 果。 ^^ 一 個 男 性 角 色 得 記 住 其 他 領 主 會 為 了 王 國 的 閨 秀 和 他 競 爭。 同 樣， 女 孩 子 的 小 考 驗 也 是 隨 時 隨 地 的， 而 玩 家 也 許 會 發 現 他 求 愛 的 對 象 到 頭 來 並 不 愛 他。 浪 漫 史， 在 卡 拉 迪 亞 這 塊 地 方， 和 在 其 它 地 方 一 樣， 有 情 人 不 一 定 總 成 眷 屬。 當 然， 玩 家 也 可 以 使 用 別 的， 不 太 紳 士 的 手 段 贏 得 女 孩 子 的 心， 但 是 同 樣 的， 那 會 對 他 的 名 聲 帶 來 嚴 重 的 影 響。 ^^ 要 開 始 一 段 求 愛 的 旅 程， 男 性 玩 家 需 要 試 著 融 入 卡 拉 迪 亞 貴 族 的 社 交 生 活， 出 席 宴 會 和 競 技 大 會。 同 樣， 流 浪 的 歌 手 和 詩 人 可 以 成 為 獲 得 求 愛 信 息 的 有 用 的 知 識 庫， 並 且 能 讓 玩 家 隨 時 知 道 當 下 人 們 都 在 談 論 些 什 麼。 ^^ 女 性 玩 家 也 可 以 結 婚 — — 但 是 她 們 得 記 住 卡 拉 迪 亞 的 社 會 非 常 傳 統， 而 且， 作 為 冒 險 者， 她 們 選 擇 了 一 條 非 常 反 傳 統 的 女 性 之 路。 一 名 女 性 角 色 也 許 要 好 好 找 找 某 個 思 想 足 夠 開 放 的 領 主 來 娶 她。 ^^ 作 為 好 的 一 面， 一 名 女 性 角 色 不 需 要 經 過 冗 繁 的 求 愛 禮 儀， 並 且 她 同 樣 可 以 從 婚 姻 中 比 她 的 男 性 配 偶 得 到 的 更 多。 作 為 一 名 女 性 冒 險 家， 婚 姻 可 以 成 為 通 往 權 力 的 捷 徑 — — 而 一 名 不 擇 手 段 的 角 色 也 許 會 把 她 的 丈 夫 當 作 她 實 現 政 治 野 心 的 工 具。 
ip_politics|政 治 
ip_politics_text|卡 拉 迪 亞 大 陸 上 的 國 家， 盡 管 其 象 征 了 不 同 的 文 化， 但 都 忠 於 同 一 個 基 本 政 治 體 系 ： 封 建 制。 封 建 制 基 於 個 人 之 間 的 關 系 ： 封 臣 對 於 他 或 她 君 主 的 宣 誓 效 忠。 對 於 這 種 宣 誓 的 回 報， 封 臣 通 常 會 收 到 一 份 封 地， 這 套 土 地 之 上 的 收 入 歸 封 臣 所 有 建 立 軍 隊 來 為 君 主 在 戰 時 提 供 支 持。 一 個 君 主 同 樣 有 責 任 保 護 他 的 封 臣 們， 並 且 公 平 地 宴 請 他 們。 ^^ 無 論 如 何， 理 論 上 應 該 是 這 麼 運 作 的。 實 際 上， 封 臣 們 並 不 總 是 為 了 他 們 陣 營 的 利 益 而 努 力， 特 別 的 是 他 們 還 經 常 相 互 爭 吵。 貴 族 們 有 不 同 的 個 性， 並 且 有 時 候 這 些 個 性 相 沖。 或 者， 也 許 兩 個 貴 族 是 親 密 的 朋 友， 但 是 因 為 一 次 退 卻 或 者 戰 敗 的 結 果 而 翻 臉 — — 或 者 因 為 他 們 在 追 求 同 一 位 小 姐。 他 們 在 國 王 面 前 爭 寵 的 時 候 同 樣 也 會 表 現 出 嫉 妒 — — 也 許 是 為 了 爭 奪 新 征 服 的 土 地， 或 者 是 爭 奪 誰 會 被 任 命 為 令 人 垂 涎 的 元 帥 之 職 位， 成 為 負 責 組 織 一 次 大 規 模 戰 役 的 統 領。 ^^ 當 卡 拉 迪 亞 的 某 個 國 家 和 別 國 開 戰， 各 個 王 國 內 部 在 政 治 上 是 否 團 結， 嚴 重 影 響 到 其 能 夠 決 定 戰 爭 結 果 的 士 兵 的 質 量 和 數 量。 在 一 個 團 結 的 王 國， 貴 族 們 會 聯 合 在 一 起 成 為 一 股 強 大 的 力 量 掃 除 他 們 面 前 的 對 手。 在 一 個 因 為 喋 喋 不 休 的 爭 論 而 四 分 五 裂 的 王 國 裡， 領 主 們 將 不 聽 從 元 帥 的 召 集， 或 者 在 一 場 戰 役 如 果 進 行 的 並 不 順 利 的 時 候 四 散 而 去 忙 他 們 自 己 的 事 情。 一 個 陣 營 政 治 上 的 凝 聚 力 還 會 在 戰 役 沒 有 進 行 的 情 況 下 導 致 軍 事 沖 突。 在 一 個 分 裂 的 陣 營， 領 主 們 在 出 擊 和 巡 邏 的 時 候 不 大 願 意 聯 合 行 動， 還 有 共 同 防 御。 ^^ 如 果 發 現 領 主 們 在 敵 人 出 現 在 地 平 線 上 的 時 候 因 為 斗 嘴 和 爭 論 而 要 弄 巧 成 拙， 記 住 — — 從 根 本 上 講， 一 名 貴 族 的 忠 誠 不 是 對 於 特 定 的 陣 營 或 者 文 化， 而 是 對 於 他 自 己 以 及 他 的 家 族。 如 果 一 個 貴 族 擔 心 他 的 陣 營 崩 潰， 或 者 是 他 正 在 被 他 的 君 主 忽 視， 他 通 常 會 找 個 理 由 撤 銷 他 效 忠 的 宣 誓， 然 後 投 奔 別 處。 玩 家 門 要 記 住 這 一 點， 因 為 他 們 會 發 現 有 機 會 讓 心 中 不 滿 的 前 敵 人 轉 變 成 盟 友。 
ip_character_backgrounds|角 色 背 景 
ip_character_backgrounds_text|進 入 卡 拉 迪 亞 的 玩 家 可 以 選 擇 來 自 不 同 的 社 會 背 景。 這 個 選 擇 不 僅 僅 會 影 響 到 他 或 她 的 起 始 技 能 和 裝 備， 還 會 影 響 到 他 或 者 她 的 冒 險 生 涯。 ^^ 卡 拉 迪 亞 的 戰 事 和 政 治 傳 統 性 地 歸 男 性 貴 族 所 支 配。 一 名 男 性 貴 族 玩 家 角 色 會 發 現 他 很 快 就 在 這 個 「 大 男 子 」 俱 樂 部 裡 如 魚 得 水， 而 女 性 和 平 民 身 份 則 會 在 奮 斗 之 路 上 遇 到 額 外 的 障 礙。 如 果 你 選 擇 作 為 一 名 男 性 貴 族 來 開 始 開 始 游 戲， 你 可 以 看 作 是 以 「 簡 單 」 難 度 來 開 始 游 戲。 以 女 性 貴 族 或 者 男 性 平 民 開 始 則 要 難 度 高 一 點， 而 以 女 性 平 民 開 局 則 可 能 是 以 最 具 挑 戰 的 方 式 開 始 游 戲。 ^^ 盡 管 這 樣， 女 性 也 有 開 局 的 優 勢。 很 明 顯 的 就 是 招 兵， 一 名 女 性 勇 士 自 身 很 能 引 人 注 意， 這 樣 她 能 夠 比 男 性 更 快 地 樹 立 自 己 的 名 聲。 同 樣 地， 按 照 慣 例 女 的 也 比 男 的 要 更 容 易 通 過 婚 姻 通 往 社 會 高 層， 並 且 女 的 可 以 通 過 戰 略 婚 姻 聯 盟 比 她 的 男 性 配 偶 獲 得 的 更 多。 ^^ 最 後， 記 住 這 游 戲 裡， 英 雄 不 問 出 處， 王 侯 將 相， 寧 有 種 乎。 不 論 貴 族 還 是 平 民， 男 性 還 是 女 性， 結 婚 還 是 單 身 — — 任 何 人 都 有 可 能 成 為 全 卡 拉 迪 亞 的 統 治 者， 如 果 他 們 足 夠 勇 敢， 幸 運 或 者 智 慧 的 話。 
ip_military_campaigns|軍 事 戰 爭 
ip_military_campaigns_text|當 卡 拉 迪 亞 諸 王 國 開 始 戰 事， 他 們 的 軍 隊 有 兩 種 基 本 的 進 攻 方 式。 他 們 會 試 圖 進 攻 村 莊 並 摧 毀 它， 破 壞 敵 人 的 聲 望 和 經 濟。 或 者， 他 們 可 以 試 圖 奪 取 並 占 據 城 堡 或 者 城 鎮， 擴 張 領 土。 這 第 二 種 方 式 包 括 長 期， 血 腥 的 圍 攻， 但 是 能 產 生 更 有 決 定 性 的 成 果。 ^^ 得 記 住 很 重 要 的 一 點 在 卡 拉 迪 亞 的 國 家 裡 沒 有 按 照 統 治 者 要 求 常 駐 各 處 的 常 備 軍。 相 對 的， 卡 拉 迪 亞 的 各 國 家 由 權 臣 貴 族 及 其 各 自 從 屬 所 招 募 的 封 建 傭 兵 所 保 護。 有 時 候， 這 些 貴 族 私 自 發 動 對 敵 人 領 土 的 進 攻， 但 決 定 性 的 攻 擊 總 是 發 生 在 大 規 模 軍 團 被 召 集 的 時 候。 各 個 王 國 的 元 帥， 一 名 由 國 王 指 派 的 貴 族， 會 在 戰 役 開 始 前 召 集 軍 團 並 率 領 他 們 投 入 戰 鬥。 然 而， 他 也 需 要 注 意 別 讓 他 們 過 於 戀 戰。 否 則， 軍 團 就 會 開 始 瓦 解， 因 為 那 些 領 主 會 各 自 離 開 去 忙 他 們 自 己 的 事 情， 而 大 軍 就 會 變 得 容 易 遭 受 對 方 的 反 擊。 ^^ 因 此， 在 卡 拉 迪 亞， 戰 爭 的 節 奏 通 常 就 像 是 兩 個 單 獨 的 戰 斗 者 之 間 的 決 斗 一 樣。 一 方 會 糾 集 自 己 的 力 量 尋 求 對 敵 方 領 土 的 一 次 猛 攻。 如 果 元 帥 倉 促 間 集 結 領 主 們 的 時 間 過 短， 他 就 不 能 實 施 任 何 有 效 的 攻 擊。 如 果 他 花 的 時 間 過 長， 那 戰 役 也 許 會 在 還 沒 開 始 之 前 就 結 束。 大 國 對 小 國 擁 有 優 勢， 就 像 一 名 強 壯 的 戰 士 比 弱 小 的 對 手 要 厲 害， 但 是 一 個 國 家 政 治 上 的 凝 聚 力 也 不 能 忽 視， 就 像 一 個 耐 力 過 人 的 斗 士 會 比 她 的 對 手 活 得 更 久。 有 時 候， 兩 個 國 家 的 軍 隊 會 迎 頭 碰 上， 軍 隊 的 士 氣 和 數 量 將 決 定 這 場 大 決 戰 的 結 果。 ^^ 王 國 們 對 於 其 敵 人 總 是 缺 乏 情 報。 進 攻 方 的 領 主 需 要 頻 繁 地 偵 查 敵 人 的 領 土 來 決 定 哪 個 要 塞 也 許 易 於 攻 擊。 守 衛 本 土 的 軍 隊 會 有 從 城 堡 和 城 鎮 得 到 警 報 的 優 勢， 它 們 會 傳 播 敵 人 在 其 附 近 行 動 的 情 報。 然 而， 這 些 情 報 並 不 精 確， 特 別 是 對 於 敵 軍 的 數 量 方 面。 解 圍 或 者 援 救 村 莊 的 防 守 方 也 許 能 擊 敗 一 支 沒 有 准 備 的 進 攻 部 隊 — — 或 者 失 算， 成 為 被 打 敗 的 一 方。 而 對 於 進 攻 方， 必 須 要 小 心 他 們 深 入 敵 後 有 多 遠， 而 好 戰 的 元 帥 要 比 謹 慎 的 元 帥 更 冒 險。 ^^ 玩 家 會 期 望 加 入 其 陣 營 的 軍 事 戰 役， 比 如 加 入 軍 團， 或 者 打 頭 陣 去 敵 人 領 土 偵 查。 某 些 玩 家 也 許 會 發 現 他 們 國 家 的 元 帥 個 人 風 格 太 謹 慎 了， 或 者 太 好 戰 了。 這 種 情 況 下， 他 們 可 以 串 通 其 他 領 主 來 試 圖 更 換 元 帥， 或 者 尋 求 支 持 來 自 己 當 上 元 帥。 ^^ 大 部 分 戰 爭 持 續 有 限 的 一 段 時 間。 一 名 想 要 開 戰 的 國 王， 為 了 榮 耀， 覺 得 有 義 務 短 時 間 裡 解 決 沖 突。 然 而， 除 非 他 狠 揍 了 敵 人 一 頓。 他 也 許 很 快 開 始 尋 求 平 息 沖 突 的 途 徑， 以 免 自 己 暴 露 在 第 三 方 部 隊 的 攻 擊 威 脅 之 下。 卡 拉 迪 亞 的 統 治 者 們 都 清 楚 地 明 白 今 天 的 盟 友 也 許 明 天 就 會 成 為 敵 人， 反 之 亦 然。 
