p_zendar|禪 達 
p_town_1|薩 哥 斯 
p_town_2|提 哈 
p_town_3|維 魯 加 
p_town_4|蘇 諾 
p_town_5|傑 爾 喀 拉 
p_town_6|帕 拉 汶 
p_town_7|烏 克 斯 豪 爾 
p_town_8|日 瓦 丁 
p_town_9|庫 丹 
p_town_10|圖 爾 加 
p_town_11|庫 勞 
p_town_12|窩 車 則 
p_town_13|日 瓦 車 則 
p_town_14|哈 爾 瑪 
p_town_15|亞 倫 
p_town_16|德 赫 瑞 姆 
p_town_17|艾 車 莫 爾 
p_town_18|拉 那 
p_town_19|沙 瑞 茲 
p_town_20|都 庫 巴 
p_town_21|阿 默 拉 德 
p_town_22|巴 瑞 耶 
p_castle_1|庫 兒 瑪 堡 
p_castle_2|馬 勒 格 堡 
p_castle_3|布 魯 加 堡 
p_castle_4|拉 多 吉 爾 堡 
p_castle_5|提 赫 洛 格 堡 
p_castle_6|提 爾 堡 
p_castle_7|薩 吉 徹 堡 
p_castle_8|傑 爾 泊 堡 
p_castle_9|加 米 奇 堡 
p_castle_10|艾 爾 布 克 城 堡 
p_castle_11|庫 林 城 堡 
p_castle_12|切 爾 貝 克 堡 
p_castle_13|凱 爾 瑞 丹 堡 
p_castle_14|馬 拉 斯 堡 
p_castle_15|阿 哥 爾 隆 堡 
p_castle_16|阿 美 拉 堡 
p_castle_17|迪 斯 它 堡 
p_castle_18|依 斯 摩 羅 拉 堡 
p_castle_19|洛 瑪 堡 
p_castle_20|德 其 歐 斯 堡 
p_castle_21|艾 泊 德 勒 斯 堡 
p_castle_22|烏 魯 茲 達 克 堡 
p_castle_23|特 瓦 林 堡 
p_castle_24|雷 恩 迪 堡 
p_castle_25|瑞 泊 萊 特 堡 
p_castle_26|聖 魯 茲 哥 達 堡 
p_castle_27|倫 迪 亞 堡 
p_castle_28|格 魯 恩 沃 德 堡 
p_castle_29|勒 拉 格 堡 
p_castle_30|阿 蘇 岡 堡 
p_castle_31|溫 科 德 堡 
p_castle_32|魯 達 堡 
p_castle_33|艾 特 斯 科 堡 
p_castle_34|赫 魯 斯 堡 
p_castle_35|哈 倫 哥 斯 堡 
p_castle_36|傑 爾 博 格 堡 
p_castle_37|德 瑞 瑪 格 堡 
p_castle_38|圖 爾 布 克 堡 
p_castle_39|色 雷 茲 克 堡 
p_castle_40|阿 乎 恩 堡 
p_castle_41|加 米 耶 德 堡 
p_castle_42|特 拉 瑪 堡 
p_castle_43|沙 拉 瓦 堡 
p_castle_44|都 拉 瑞 堡 
p_castle_45|卡 拉 夫 堡 
p_castle_46|衛 耶 哈 堡 
p_castle_47|薩 馬 拉 堡 
p_castle_48|巴 拉 達 奇 堡 
p_village_1|葉 瑞 閣 
p_village_2|比 格 倫 
p_village_3|阿 茲 哥 德 
p_village_4|諾 瑪 
p_village_5|庫 魯 姆 
p_village_6|愛 米 林 
p_village_7|阿 密 爾 
p_village_8|哈 茵 
p_village_9|巴 甫 倫 
p_village_10|麥 肯 
p_village_11|達 斯 圖 歐 
p_village_12|伊 美 爾 
p_village_13|尼 美 加 
p_village_14|桑 布 加 
p_village_15|瑞 泊 萊 特 
p_village_16|夏 普 斯 特 
p_village_17|馬 贊 
p_village_18|奧 穆 爾 
p_village_19|哈 嫩 
p_village_20|阿 斯 盧 姆 
p_village_21|巴 澤 克 
p_village_22|舒 樂 斯 
p_village_23|伊 歐 薇 雅 
p_village_24|魯 迪 
p_village_25|達 斯 貝 法 
p_village_26|培 剛 德 
p_village_27|格 蘭 梅 爾 
p_village_28|塔 斯 庫 魯 姆 
p_village_29|布 尤 恩 
p_village_30|盧 瓦 爾 
p_village_31|安 碧 恩 
p_village_32|托 斯 德 爾 
p_village_33|盧 倫 斯 
p_village_34|艾 勒 代 葛 
p_village_35|費 爾 辰 
p_village_36|傑 耶 克 
p_village_37|阿 達 庫 魯 姆 
p_village_38|艾 伯 倫 
p_village_39|萊 蕪 倫 
p_village_40|塞 倫 
p_village_41|杜 根 
p_village_42|德 瑞 法 厄 班 
p_village_43|則 加 西 
p_village_44|帕 希 米 
p_village_45|巴 魯 格 
p_village_46|菲 德 訥 
p_village_47|依 帕 希 
p_village_48|維 達 
p_village_49|提 斯 摩 
p_village_50|卡 倫 迪 
p_village_51|傑 爾 博 格 
p_village_52|阿 瑪 希 科 
p_village_53|巴 蘭 利 
p_village_54|柴 德 
p_village_55|泰 得 撒 馬 希 
p_village_56|芬 拉 德 
p_village_57|尤 希 庫 魯 
p_village_58|維 贊 
p_village_59|杜 邁 
p_village_60|塔 爾 博 力 亞 
p_village_61|艾 德 倫 
p_village_62|瑞 巴 奇 
p_village_63|烏 魯 達 那 
p_village_64|瑟 林 迪 爾 
p_village_65|依 林 達 哈 
p_village_66|費 斯 德 那 
p_village_67|特 班 達 
p_village_68|艾 泊 德 勒 斯 
p_village_69|克 溫 
p_village_70|德 瑞 格 森 
p_village_71|提 斯 泊 丁 
p_village_72|艾 爾 貝 爾 
p_village_73|齊 扎 
p_village_74|艾 伊 科 
p_village_75|泊 胡 拉 班 
p_village_76|克 德 爾 克 
p_village_77|瑞 茲 
p_village_78|塞 倫 米 斯 
p_village_79|艾 斯 提 尼 那 
p_village_80|瓦 葉 則 吉 
p_village_81|歐 達 桑 
p_village_82|亞 力 卜 
p_village_83|哥 斯 莫 
p_village_84|車 勒 茲 
p_village_85|依 斯 摩 羅 拉 
p_village_86|色 雷 茲 克 
p_village_87|烏 迪 尼 拉 德 
p_village_88|圖 爾 布 克 
p_village_89|阿 乎 恩 
p_village_90|加 米 奇 
p_village_91|阿 安． 阿 蘇 迪 
p_village_92|黑 巴 伊 
p_village_93|括 烏 特 
p_village_94|馬 茲 根 
p_village_95|塔 姆 努 
p_village_96|哈 巴 
p_village_97|色 庫 騰 
p_village_98|馬 維 提 
p_village_99|費 沙 拉 
p_village_100|奇 巴 伊 
p_village_101|烏 茲 汗 
p_village_102|什 巴． 祖 默 
p_village_103|米 加 耶 特 
p_village_104|塔 居 納 特 
p_village_105|阿 波 
p_village_106|哈 瓦 哈 
p_village_107|烏 麗 亞 
p_village_108|米 特． 努 恩 
p_village_109|提 裡 姆 薩 
p_village_110|魯 什 迪 根 
p_salt_mine|鹽 礦 
p_four_ways_inn|四 方 客 棧 
p_test_scene|測 試 場 景 
p_battlefields|戰 場 
p_dhorak_keep|多 拉 克 要 塞 
p_training_ground|訓 練 場 
p_training_ground_1|訓 練 場 
p_training_ground_2|訓 練 場 
p_training_ground_3|訓 練 場 
p_training_ground_4|訓 練 場 
p_training_ground_5|訓 練 場 
p_steppe_bandit_spawn_point|草 原 
p_taiga_bandit_spawn_point|冰 原 
p_forest_bandit_spawn_point|綠 林 
p_mountain_bandit_spawn_point|高 地 
p_sea_raider_spawn_point_1|海 岸 
p_sea_raider_spawn_point_2|海 岸 
p_desert_bandit_spawn_point|沙 漠 
