qstr_Next_Page|Sonraki sayfa
qstr_Game_Rules:^|Oyun Kuralları:^
qstr_0|0
qstr_Show_game_rules|Oyun kurallarını göster
qstr_Continue...|Devam et...
qstr_Candidate_#1:_{s1}|Aday #1: {s1}
qstr_Candidate_#2:_{s1}|Aday #2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s4} {s3}ı yeni bir mareşal seçmek istiyor ve derebeylerini tavsiye almak için çağırıyor. {s1} ve {s2} olası adaylar.
qstr_Who_do_you_wish_to_s|Kimi desteklemek istiyorsun?
qstr_{s1}_gives_his_suppo|{s1} oyunu {s2} için kullanıyor.
qstr_Number_of_Supporters|Destekçi sayısı: {reg0}
qstr_{s2}_has_heard_his_v|{s2} derebeylerinin görüşlerini aldı ve {s3}'{.nin} mareşalı olarak {s1}'{.i} seçti.
qstr_Action|Eylem
qstr_Mount|Ata Bin
qstr_Attack_Type|Saldırı Türü
qstr_Stand_Ground|Pozisyonunuzu Savunun
qstr_Charge|Hücum
qstr_Follow_Me|Beni Takip Edin
qstr_Hold_This_Position|Burada Durun
qstr_Spread_Out|Yayılın
qstr_Stand_Closer|Yakın durun
qstr_Fall_Back|Geri çekilin
qstr_Advance|İleri
qstr_Dismount|Attan İnin
qstr_Fire_At_Will|Atış Serbest
qstr_Hold_Your_Fire|Atışı Kes
qstr_Use_Blunt_Weapons|Bayıltıcı Silah Kullanın
qstr_Use_Any_Weapon|Silah Serbest
qstr_Ready|Hazır
qstr_Wounded|Yaralı
qstr_Dead|Ölü
qstr_Number_of_men_knocke|Bayıltılan adam sayısı: {reg1}
qstr_Number_of_men_left:_|Kalan adam sayısı: {reg1}
qstr_Opponents_Beaten:_{r|Yenilen Düşmanlar: {reg1}
qstr_Opponents_Remaining:|Kalan Düşmanlar: {reg1}
qstr_Remain_in_retirement|Emekliliğe devam et
qstr_Go_back_to_the_adven|Maceraya geri dön.
qstr_You_have_retired_at_|{reg5} günlük maceradan sonra {reg4}. seviyede emekli oldun.
qstr_Effect_on_Score|Skora etki
qstr_Settlements_owned_by|Sahip olduğun yerleşimler: {reg0}
qstr_Friendly_Settlements|Dost yerleşimler: {reg0}
qstr_Hostile_Settlements:|Düşman yerleşimler: {reg0}
qstr_Friendly_Lords:_{reg|Dost Lordlar: {reg0}
qstr_Enemy_Lords:_{reg0}|Düşman Lordlar: {reg0}
qstr_Victories:_{reg0}|Galibiyetler: {reg0}
qstr_Defeats:_{reg0}|Mağlubiyetler: {reg0}
qstr_Quests_Completed:_{r|Tamamlanan Görevler: {reg0}
qstr_Companions_Found:_{r|Bulunan Yoldaşlar: {reg0}
qstr_Companions_Lost/Depa|Ayrılan/Kaybedilen Yoldaşlar: {reg0}
qstr_Wealth:_{reg0}_denar|Servet: {reg0} dinar
qstr_Inventory:_{reg0}_de|Envanter: {reg0} dinar
qstr_Renown:_{reg0}|Nam: {reg0}
qstr_Experience:_{reg0}|Tecrübe: {reg0}
qstr_Days_Passed:_{reg0}|Geçen gün sayısı: {reg0}
qstr_Difficulty:_{reg0}%|Zorluk: %{reg0}
qstr_TOTAL_SCORE:_{reg0}|TOPLAM PUAN: {reg0}
qstr_None|Hiç
qstr_{s1}_of_{s3}_was_def|{s3} {s1}ı yenildi, ama kaçmayı başardı.
qstr_{s54}_is_a_claimant_|{s54}, {s56} tahtında hak talep ediyor.
qstr_nowhere|Hiçbir yer
qstr_{s57}_and_{s58}|{s57} ve {s58}
qstr_{reg3?She:He}|{reg3?O:O}
qstr_The_town_of_{s50}|{s50}
qstr_The_village_of_{s50}|{s52} yakınlarındaki {s50}
qstr_{s51}_belongs_to_{s1|{s51} {s2}ndan {s1}'{.e} ait.^
qstr_{s7}_and_{s8}|{s7} ve {s8}
qstr_{s2}It_has_no_villag|{s2}Hiç köyü yok.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Bağlı köyleri:Bağlı köyü} {s8}.^
qstr_{s2}Its_prosperity_i|{s2}Refah durumu: {s50}
qstr_noone|hiçkimse
qstr_{s9}_and_{s10}|{s9} ve {s10}
qstr_{s5}_has_been_defeat|{s5} yenildi!
qstr_{s7}_opened_the_gate|{s7} kapıları açtı
qstr_{s7}_closed_the_gate|{s7} kapıları kapattı
qstr_+{reg1}_to_party_mor|Grup moraline +{reg1}
qstr_Requires_{reg1}_inte|Okumak için {reg1} zekâ gerekir.
qstr_Reading_Progress:_{r|Okuma süreci: %{reg1}
qstr_wound_treament|yara bakımı
qstr_trainer|talimci
qstr_surgery|cerrahlık
qstr_+1_to_{s1}_while_in_|Envanterdeyken {s1} becerisine +1
qstr_Move_here|Buraya hareket et.
qstr_View_notes|Notlara bak.
qstr_Accompany|Refakat et.
qstr_killed|ölü
qstr_wounded|yaralı
qstr_{s0}^TOTAL:_{reg3}__|{s0}^TOPLAM: {reg3} ({s2})
qstr_^None|^Hiç
qstr_nothing|hiç
qstr_{reg0}_village{reg1?|{reg0} köy{reg1?s:}
qstr_{reg0}_castle{reg1?s|{reg0} kale{reg1?s:}
qstr_{reg0}_castle{reg1?s:|{reg0} kale{reg1?s:} ve {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} şehir{reg1?s:}
qstr_{reg0}_town{reg1?s:}_|{reg0} şehir{reg1?s:} ve {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} şehir{reg1?s:}, {s0}
qstr_Your_opponents_are_r|Rakiplerin dövüşe hazır.
qstr_Try_to_destroy_as_ma|Olabildiğince fazla hedefi yoketmeye çalış. Pisti tamamlamak için iki buçuk dakikan var.
qstr_Stay_behind_the_line|Çizginin arkasında durup hedefleri vur. Boşa sallamamaya çalış.
qstr_Battle_Advantage_=_{|Savaş Avantajı = {reg0}.
qstr_{s9}_wants_you_to_re|{s9} sonraki emre kadar ordusunu takip etmeni istiyor.
qstr__Being_Raided_|(Saldırı altında)
qstr__Looted_|(Yağmalandı)
qstr__Under_Siege_|(Kuşatma Altında)
qstr_The_village_of_{s1}_|{s1} {s2} tarafından yağmalandı.
qstr_{s3}_is_no_longer_un|{s3} artık kuşatma altında değil.
qstr_Small_bands_of_enemi|{s1} yakınlarında ufak bir düşman grubu tespit edildi.
qstr_Enemy_patrols_spotte|{s1} yakınlarında düşman grubu tespit edildi.
qstr_Medium_sized_group_o|{s1} yakınlarında orta büyüklükte bir düşman grubu tepit edildi.
qstr_Significant_group_of|{s1} yakınlarında kalabalık bir düşman grubu tespit edildi..
qstr_Army_of_enemies_spot|Düşman ordusu {s1} yakınlarında tespit edildi.
qstr_Large_army_of_enemie|Kalabalık bir düşman ordusu {s1} yakınlarında tespit edildi.
qstr_Great_host_of_enemie|Dev bir düşman ordusu {s1} yakınlarında tepsit edildi.
qstr_{s1}_has_been_besieg|{s1} {s3}ndan {s2} tarafından kuşatıldı.
qstr__{s1}__{s11}:_{s14}|({s1}) {s11}: {s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s1}_is_the_new_mars|{s1}'nın yenimareşali {s2}.
qstr_You_gained_{reg12}_r|{reg12} nam kazandın.
qstr_You_lose_{reg12}_ren|{reg12} nam kaybettin.
qstr_Your_relation_with_{|{s1} ile ilişkin ilerledi.
qstr_Your_relation_with_{s|{s1} ile ilişkin geriledi.
qstr_You_gain_honour.|Onur kazandın.
qstr_You_lose_honour.|Onur kaybettin.
qstr_{s1}_has_declared_wa|{s1}, {s2}na savaş açtı.
qstr_{s1}_and_{s2}_have_m|{s1} ve {s2} barış anlaşması imzaladılar.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?{s3} topraklarındaydı:şu anda {s3} topraklarında}.
qstr_{s2}_{reg3?was:is}_t|{s2} {s3} topraklarına doğru {reg3?gidiyordu:gidiyor} ve {reg3?:şu sıralar} {s4} yakınlarında {reg3?idi:olmalı}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?kırdaydı:kırda} ve {reg3?: şu sıralar} {s3} {reg3?yakınlarındaydı:yakınlarında olmalı}.
qstr_{s2}_{reg3?was:is}_b|{s2} {s3} zindanında {reg3?hapsedilmişti:tutuluyor}.
qstr_{s2}_{reg3?was:has_b|{s2} düşmanları tarafından esir {reg3?alınmıştı:tutuluyor}. 
qstr_{reg3?{s2}_s_locatio|{reg3?{s2} nerede bilinmiyordu:{s2} nerede bilmiyorum}.
qstr_{s6}_has_joined_your|{s6} grubuna katıldı
qstr_You_now_owe_{reg2}_d|{s1}'{.e} {reg2} dinar borçlusun.
qstr_Renown_value_for_thi|Bu savaşın nam değeri {reg8}.
qstr_You_have_run_into_a_|Bir tuzağa düştün!
qstr_You_are_attacked_by_|Bir grup haydut tarafından saldırıya uğradın!
qstr_Holding|Duruyor
qstr_Following|İzliyor
qstr_Charging|Hücum ediyor
qstr_Advancing|İlerliyor
qstr_Falling_Back|Geri Çekiliyor
qstr_Standing_Closer|Birbirine yaklaşıyor
qstr_Spreading_Out|Birbirinden uzaklaşıyor
qstr_Standing|Duruyor
qstr_N/A|N/A
qstr_Free|Serbest
qstr_Any_Weapon|Silah serbest
qstr_Blunt_Weapons|Bayıltıcı Silahlar
qstr_{s1}_Rebels|{s1} Asileri
qstr_Given_by:_{s62}|{s62} tarafından verildi.
qstr_Given_on:_{s60}|{s60} tarihinde verildi.
qstr_You_have_{reg0}_days|Bu görevi bitirmek için {reg0} günün var.
qstr_This_quest_has_been_|Bu görev sonlandı. Bitirmek için {s59} ile konuş.
qstr_This_quest_has_been_s|Bu görev başarıyla tamamlandı. {s59} ile konuşup ödülünü al.
qstr_This_quest_has_faile|Bu görev başarısız oldu. {s59} ile konuşup durumu açıkla.
qstr_At_the_time_quest_wa|Görev verildiğinde:^{s1}
qstr_{s5}_has_a_strength_|{s5} gücü : {reg1} asker
qstr_The_last_time_you_sa|Onu son gördüğün yer {s1}.
qstr_The_last_time_you_he|Onun hakkında son haber aldığın zaman {s1}.
qstr_Current_garrison_con|Garnizonda {reg5} asker bulunuyor.{reg4?^{reg6} gün yetecek yiyecek stoğu var.:}
qstr_Very_Poor|Çok Fakir
qstr_Poor|Fakir
qstr_Average|Ortalama
qstr_Rich|Zengin
qstr_Very_Rich|Çok Zengin
qstr_Manor|Malikane
qstr_A_manor_lets_you_res|Malikane köyde kalmanı sağlar ve  burada kalırken askerlerin maaşını yarıya düşürür.
qstr_Mill|Değirmen
qstr_A_mill_increases_vil|Değirmen köyün refah seviyesini %5 artırır.
qstr_Watch_Tower|Gözcü Kulesi
qstr_A_watch_tower_lets_t|Gözcü kulesi köylülerin daha erken alarm vermelerini sağlar. Düşmanların köyü yağmalaması için gereken zamanı %25 artırır.
qstr_School|Okul
qstr_A_shool_increases_th|Okul köylülerin sadakatini her ay +1 artırır.
qstr_Messenger_Post|Ulak Karakolu
qstr_A_messenger_post_let|Ulak karakolu, yakında düşman olduğu zamanlarda çok uzakta olsan da köylülerin sana mesaj yollamasına olanak tanır.
qstr_Prison_Tower|Kule Hapishanesi
qstr_A_prison_tower_reduc|Kule Hapishanesi burada tutulan mahkumların başarıyla kaçma şansını düşürür.
qstr_Prosperity_of_{s2}_h|{s2}nde refah seviyesi {s3} durumdan {s4} durumuna geçti.
qstr_{s4}_looks_upset.|{s4} sinirli görünüyor.
qstr_your_party|grubun
qstr_{reg0?One_of_your_pr|{reg0?Senin mahkumun olan, :}{s3}ndan {s1} tutsaklıktan kaçtı!
qstr_You_brought_{reg3}_h|{s1} için {reg3} baş sığır götürdün.
qstr_I_heard_that_there_w|Yakında {s62} içinde bir turnuva olacağını duydum.
qstr_I_heard_that_one_can|{s63}nde çok ucuza {s62} bulunduğunu duydum.
qstr_I_heard_that_they_pa|{s63}nde {s62} için çok yüksek fiyatlar ödendiğini duydum.
qstr_two_days_ago|iki gün önce
qstr_Best_threat_of_{s4}_|{s4} en iyi tehdit {reg1} değerinde
qstr_No_center_found_to_d|Savunulacak toprak yok
qstr_You_gain_right_to_ru|Yönetme hakkı kazandın
qstr_You_lose_right_to_ru|Yönetme hakkını kaybettin
qstr_You_got_keys_of_dung|Zindanın anahtarlarını aldın.
qstr_You_must_stay_behind|Yerdeki çizginin ardında durmalısın! Puan sayılmadı.
qstr_Tutorial|Eğitim
qstr_You_came_into_the_wo|Dünyaya, sadece yaşadıkları eve sahip, çökmekte olan asillerin {reg3?kızı:oğlu} olarak geldin. Ne var ki, ailenin zorluklarına rağmen, sana iyi bir eğitim verdiler ve saray yaşamı ve aristokrasinin engelleri üstüne seni eğittiler.
qstr_You_were_born_the_{r|Kâr peşinde oradan oraya giden gezgin tüccarların {reg3?kızı:oğlu} olarak dünyaya geldin. Ailen çoğundan daha zengin olsa ve seni olabildiğince eğitseler de, yolda arkadaş edinecek pek az zamanın oldu ve zamanın çoğunu birilerine birşeyler satarak geçirdin.
qstr_As_a_child_your_fami|Çocukken, yerel lordun koruması olan babanın maaşıyla fakir bir hayattan tırmandınız. Kolay değildi ve eğitim almak için çok fakirdiniz. Genelde sokaklarda kendini korumayı öğrendin, silahla veya silahsız.
qstr_{reg3?daughter:son}|{reg3?kız:oğlan}
qstr_You_were_the_{reg3?d|Ormanda yaşayan, ihtiyaçlarını karşılamak için ne gerekirse yapan bir ailenin {reg3?kızıydın:oğluydun}. Avcılık, odunculuk, ok yapımı, hatta işler sıkınca kaçak avlanma.. Kış, hem insanları hem de hayvanları götürdüğünden, sen ve ailen için iyi bir zaman değildi, ama sen sonraki şafağı görmek için yaşadın; kardeşlerin senin kadar şanslı olamamış olsalar da.
qstr_You_were_a_child_of_|Sen kuru topraklardaki büyük kamplarda yaşayan bir gezgin göçmen kabilesinde doğan bir bozkır çocuğuydun. Kabiledeki diğerleri gibi, ailen atları herşeyin üstünde tutardı, ve neredeyse daha yürümeyi öğrenmeden sana ata binmeyi öğretmişlerdi.
qstr_As_the_{reg3?daughte|Bir hırsızın {reg3?kızı:oğlu} olarak, çok az 'resmi' bir eğitim aldın. Bunun yerine sokaklarda cüzdan çalmayı öğrenene kadar dilendin, maymuncuk kullanmayı öğrenene kadar cüzdan çaldın ve tüm çocukluk hayatın böyle geçti. Yine de, bu uzun yıllar seni sokakların üstadı yaptı, şehirlerde ve gölgelerde yatan sırları herkesten iyi farkedebildin.
qstr_As_a_{reg3?girl:boy}|Çocukluktan çıkan bir {reg3?kız:oğlan} olarak, bölgenin asillerinden birinin sarayında yaşamaya yollandın. Orada ilk dersin, evin lord ve hanımlarını beklerken göstereceğin tevazuydu. Ama onların satranç oyunlarından, dedikodularından ve hatta büyük işler ve saray aşkları üzerine şiirlerden, yetişkinlerin çatışma ve yarışma dünyaları hakkında çok şey öğrendin. Ayrıca diğer çocukların, büyüklerini taklit edercesine birbirlerine sopa salladıkları kaba oyunlarını öğrendin.
qstr_As_a_{reg3?girl:boy}_|Çocukluktan çıkan bir {reg3?kız:oğlan} olarak, yerel bir zanaatkarın yanına iş öğrenmek için çırak olarak girdin. Ustanın yanında yıllar süren boyu sıkı çalışma ve öğrenme sonucunda seni kalfalığa terfi etti ve kalmak istediğin sürece tam ödeme yapmak üzere işe aldı.
qstr_As_a_{reg3?girl:boy}_g|Çocukluktan çıkan bir {reg3?kız:oğlan} olarak, zengin bir tüccarın çırağı oldun ve yıllar boyunca dükkanlar ve kervanlarda ticaretle uğraştın. Kısa süre sonra ucuza alıp yükseğe satarak,  müşteriyi yine de iyi bir anlaşma yaptığına inandırma sanatında ustalaştın.
qstr_As_a_{reg3?girl:boy}_gr|Çocukluktan çıkan bir {reg3?kız:oğlan} olarak, sokaklarda, hayatta kalmak için ne gerekirse yaparak yaşadın. Dilenip, hırsızlık yapıp ve çeteler için çalışıp ekmeğini kazanmaya çalışırken, bu şiddet dünyasında, kanunun ve kötülüğünü isteyenlerin bir adım önünde varolarak yaşamını sürdürdün.
qstr_As_a_{reg3?girl:boy}_gro|Çocukluktan çıkan bir {reg3?kız:oğlan} olarak, kendi atında geniş bozkırlarda gezip çölün ve otun yollarını öğrendin. Bazen aç kaldıysan da, bu ıssız dünyada usta bir avcı ve izci oldun. Bir göçebenin hayatını yaşadığın bu sürede vücudun da sertleşip kaslarla güçlenmeye başladı.
qstr_{reg3?daughter:man}|{reg3?kadını:adamı}
qstr_Though_the_distincti|Sana birden olmuş gibi gelse de, geçen zamanın sonunda bir yetişkin oldun ve dünya gözüne farklı görünmeye başladı. Sarayda silahtar ünvanı aldığında, silahlarla uzun zaman harcamış ve sert vurup, o vuruşları karşılamayı da öğrenmiştin. Lorduna, ve bir gün senin altında olabilecek kişilere karşı olan görevlerin anlatıldı. Şövalyelik ideallerinin yanısıra, işin o kadar neşelendirici olmayan tarafı konusunda da bilgilendin -- eski savaşçıların, acımasız güç politikaları, ihanet ve gasplar üzerine; amaçlarına ulaşmak için kahramanlık kadar adiliği de kullandığını anlatan hikayeleri.
qstr_{reg3?woman:man}|{reg3?yetişkin:yetişkin}
qstr_Though_the_distinctio|Sana birden olmuş gibi gelse de, geçen zamanın sonunda bir yetişkin oldun ve dünya gözüne farklı görünmeye başladı. Saraydaki sıkı bir oluşuma sahip, sürekli hanım hanım işler yapan hanımlardan oluşan gruba girdin; asillerin karıları, metresleri yanında daha bir koca bulamamış bakirelerin de içinde olduğu. Ancak burada bile politikanın işlediğini, hanımların sarayda evlenmemiş uygun erkeklerin dikkatini çekmek için birbirleri arkasında iş çevirmeleri ve birbirleriyle uğraşmaları şeklinde gördün. Kısa zamanda bu durumları kendi avantajına çevirmeyi öğrendin. Bununla birlikte biraz incelikle dünyada büyük bir etkiye sahip olabileceğini farkettin.
qstr_Though_the_distinction|Sana birden olmuş gibi gelse de, geçen zamanın sonunda bir yetişkin oldun ve dünya gözüne farklı görünmeye başladı. Sesin ve sırtına astığın enstrümanın hariç birşeyin olmaksınız kendini yollara vurdun. Fakir bir hayattı, pek çok akşam aç kaldığın yetmezmiş gibi sanatı anlayan biri bile çıkmazdı, ancak müziğinle hayatta kalmayı başardın. Yıllar geçtikçe sarhoş kalabalıklara çalmakta ve herhangi birinden istediğin herhangi birşeyi konuşarak elde etmekte ustalaştın.
qstr_Though_the_distinction_|Sana birden olmuş gibi gelse de, geçen zamanın sonunda bir yetişkin oldun ve dünya gözüne farklı görünmeye başladı. Kendini en büyük şehirlerin birinde teoloji, felsefe ve tıp üstüne çalışan bir üniversite öğrencisi olarak buldun. Ama tüm derslerin konferans salonlarında geçmedi. Arkadaşlarına, onlar şarap, kadın ve iyi bir kavga için ara sokaklara girerken katılmış olabilir ya da olmayabilirsin. Ne var ki, kırık bir çene nasıl düzeltilir ya da öfkeli bir kasabalıyı silahını indirmeye yanaştırıp dükkanındaki hasarı parayla ödemeyi kabul etmesi için nasıl ikna edilir, bu süre boyunca gözlemleyip öğrendin.
qstr_Though_the_distinction_f|Sana birden olmuş gibi gelse de, geçen zamanın sonunda bir yetişkin oldun ve dünya gözüne farklı görünmeye başladı. Açık yolların çağrısına uyarak, köyden köye dolaşıp bulduğun herşeyi alıp sattın. Zengin bir varoluş değildi, ama pazarlık konusuna gelince en cimri ihtiyarlardan bile iyi fiyat alacak kadar ustalaştın. Yakında, biliyordun ki, kendi ticaret imparatorluğunu kuracak noktaya gelecektin...
qstr_Though_the_distinction_fe|Sana birden olmuş gibi gelse de, geçen zamanın sonunda bir yetişkin oldun ve dünya gözüne farklı görünmeye başladı. Bir demirci olarak, basit metallerden yararlı ve güzel eşyalar üreterek kariyerine başladın. Zaman geçtikçe işinin erbabı oldun ve iyi işlerden iyi paralar kazanmaya başladın. Karnında aşın, şöminende ateşin; işin ve yükselen saygınlığından gurur duyabilirdin.
qstr_Though_the_distinction_fel|Sana birden olmuş gibi gelse de, geçen zamanın sonunda bir yetişkin oldun ve dünya gözüne farklı görünmeye başladı. Sıradan insanların para için çabalamasından hoşnutsuz bir halde, kuralları bir kenara atıp, yerel lordun şahsi ormanında avlanmaya başladın. Geyikler, domuzlar ve kazları avladın ve tezgah arkasından değerli etleri sattın. Nöbetçilerinin burnunun dibinde ağaçları kestin ve pek çok evi bu odunlarla, tabi ki bir kaç gümüş karşılığı, ısıttın.
qstr_Only_you_know_exactl|Eski hayatını bitirip maceracı olmaya niye karar verdiğini tam olarak sadece sen biliyorsun. Yine de, öfken yüreğini kavururken, ayrılmak zor bir seçim olmadı. İntikam istiyorsun. Adalet istiyorsun. Sana yapılmış olan geri alınamaz ve bu borçlar sadece kanla ödenebilir...
qstr_Only_you_know_exactly|Eski hayatını bitirip maceracı olmaya niye karar verdiğini tam olarak sadece sen biliyorsun. Aklında tek şey var, o da kalamayacağın. Öylesine sevdiğin birinin anıları bu kadar acı dolu ve bu kadar yakınken değil. Belki de yeni bir hayat sana, ismini ağzına almaktan çekindiğin o kişinin adını onurlandırmanı ya da unutmanı sağlayabilir...
qstr_Only_you_know_exactly_|Eski hayatını bitirip maceracı olmaya niye karar verdiğini tam olarak sadece sen biliyorsun. Tanıdık olan şeyler sıkıcı olup da gezip görme hayallerin hayatını ele geçirdiğinde, evin niye adeta bir hapishaneye dönmüştü emin değilsin bile. Belki uzak bir yere dair isteklerin vardı, belki de sadece açık yol ve yol alma özgürlüğüne; ama aynı yerde kalamayacağın artık kesindi. Sadece gittin ve asla arkana bakmadın...
qstr_Only_you_know_exactly_w|Eski hayatını bitirip maceracı olmaya niye karar verdiğini tam olarak sadece sen biliyorsun. Ne var ki, geri dönemeyeceğini biliyorsun. Geri dönecek bir yer kalmadı. Evin diye bildiğin yer artık yok ve geniş mi geniş bu dünyada bir başına kaldığın gerçeğiyle yüzleşmelisin. Ya batacaksın, ya çıkacaksın...
qstr_Only_you_know_exactly_wh|Eski hayatını bitirip maceracı olmaya niye karar verdiğini tam olarak sadece sen biliyorsun. Diğerlerine göre, açıkça ve tamamen kişisel kazanç peşindesin. Zengin, güçlü, saygıdeğer, korkulan. Diğerlerinin sözüne uymak için koşuşturduğu kişi olmak istiyorsun. İnsanların adını bilmesini ve adının konuşulduğu yerde titremelerini istiyorsun. Herşeyi istiyorsun, ve kimsenin seni alıkoymasına izin verecek değilsin...
qstr_Back_to_the_beginnin|Başa dön...
qstr_View_next_segment...|Sonraki kısma geç...
qstr_^No_food:___{reg7}|^Yiyecek yok:  -{reg7}
qstr_^Wage_debt:___{reg6}|^Maaş borcu:  -{reg6}
qstr_Appoint_next_marshal|Sonraki Mareşali Tayin Et
qstr_Award_{s12}_as_fief|{s12} toprağını ödül olarak ver
qstr_No_one|Hiç kimse
qstr_Selected_faction_is:|Seçili taraf: {s10}^^{s9}
qstr_You_are_currently_re|Bu aralar şu kitabı okuyorsun: {s8}.
qstr_You_are_not_reading_|Şimdilik herhangi bir kitabı okumuyorsun.
qstr_none|hiçbiri
qstr_{s5}_and_{s6}|{s5} ve {s6}
qstr_Your_estates_are:_{s|Mülklerin: {s8}.^{s9}
qstr_Current_party_size_l|Grup büyüklüğü limiti {reg5}.^Grup büyüklüğü bileşenleri:^^Temel büyüklük:  +10^Liderlik: {s2}{reg1}^Karizma: {s3}{reg2}^Nam: {s4}{reg3}^TOPLAM:  {reg5}
qstr_Loyal|Adanmış
qstr_Devoted|Sadık
qstr_Fond|Dostça
qstr_Gracious|Minnettar
qstr_Friendly|Arkadaşça
qstr_Supportive|Destekleyici
qstr_Favorable|Olumlu
qstr_Cooperative|Yardımcı
qstr_Accepting|Kabullenici
qstr_Indifferent|Kayıtsız
qstr_Suspicious|Şüpheci
qstr_Grumbling|Rahatsız
qstr_Hostile|Muhalif
qstr_Resentful|Düşmanca
qstr_Angry|Kızgın
qstr_Hateful|Saldırgan
qstr_Revengeful|Öfkeli
qstr_Vengeful|Nefret dolu
qstr_Your_relation_with_t|Krallıklarla ilişkin:^{s2}
qstr_Player_renown_is_inc|Oyuncunun namı 100 arttı. 
qstr_Player_honor_is_incr|Oyuncunun namı 1 yükseldi ve {reg7} oldu.
